ticket_id,subject,body,category,priority,source
1362,Holiday List,Need clarification regarding my salary.,HR,High,Live Chat
1074,Invoice Missing,The billing amount seems incorrect. Kindly verify.,Billing,Normal,Live Chat
1375,Joining Date,I have not received my offer letter yet.,HR,High,Email
1156,Password Reset,The application crashes whenever I try to login.,Technical,High,Portal
1105,Incorrect Bill,I was charged twice for the same transaction.,Billing,High,Portal
1395,Need Help,How can I contact customer support?,General,Normal,Portal
1378,General Enquiry,Need more information about your services.,General,High,Live Chat
1125,Billing Issue,I was charged twice for the same transaction.,Billing,Normal,Portal
1069,Subscription Charged,Please share the invoice for Order #24168.,Billing,High,Email
1451,Product Information,What are your office working hours?,General,High,Live Chat
1010,Subscription Charged,"Hello Team, my payment of ₹1250 was deducted but the order is still pending.",Billing,Normal,Portal
1195,Password Reset,The website is not loading since morning.,Technical,High,Live Chat
1407,Office Timings,Need more information about your services.,General,Normal,Live Chat
1085,Duplicate Payment,"Hello Team, my payment of ₹13909 was deducted but the order is still pending.",Billing,High,Email
1372,Holiday List,Need clarification regarding my salary.,HR,High,Live Chat
1389,Feedback,How can I contact customer support?,General,High,Email
1496,Feedback,What are your office working hours?,General,High,Email
1031,Billing Issue,The billing amount seems incorrect. Kindly verify.,Billing,High,Email
1317,Resignation,Need clarification regarding my salary.,HR,Normal,Live Chat
1409,Office Timings,What are your office working hours?,General,High,Portal
1491,Product Information,What are your office working hours?,General,High,Email
1492,Company Address,Need more information about your services.,General,High,Live Chat
1281,Joining Date,Kindly send my payslip for this month.,HR,High,Portal
1357,Payslip Required,Attendance has been marked incorrectly.,HR,High,Email
1077,Refund Request,"Hello Team, my payment of ₹9018 was deducted but the order is still pending.",Billing,Normal,Portal
1462,Product Information,Can you share your company address?,General,High,Live Chat
1498,Contact Information,Can you share your company address?,General,Normal,Live Chat
1212,Database Error,I am getting a database connection error.,Technical,High,Email
1102,Duplicate Payment,I was charged twice for the same transaction.,Billing,High,Email
1335,Offer Letter,Need clarification regarding my salary.,HR,High,Live Chat
1476,Product Information,How can I contact customer support?,General,High,Portal
1337,Holiday List,Need clarification regarding my salary.,HR,Normal,Email
1441,Feedback,Need more information about your services.,General,High,Email
1174,Unable to Login,The website is not loading since morning.,Technical,High,Email
1003,Refund Request,"Hello Team, my payment of ₹988 was deducted but the order is still pending.",Billing,Normal,Email
1334,Offer Letter,I have not received my offer letter yet.,HR,Normal,Portal
1410,Business Hours,Can you share your company address?,General,High,Portal
1071,Subscription Charged,I cancelled my subscription but my refund has not been received.,Billing,Normal,Portal
1210,Password Reset,I am getting a database connection error.,Technical,Normal,Portal
1064,Invoice Missing,I was charged twice for the same transaction.,Billing,High,Portal
1385,Office Timings,Can you share your company address?,General,Normal,Portal
1094,Billing Issue,I cancelled my subscription but my refund has not been received.,Billing,Normal,Live Chat
1486,General Enquiry,Can you share your company address?,General,Normal,Live Chat
1186,Website Not Loading,The application crashes whenever I try to login.,Technical,High,Live Chat
1034,Payment Failed,The billing amount seems incorrect. Kindly verify.,Billing,Normal,Email
1078,Refund Request,"Hello Team, my payment of ₹11382 was deducted but the order is still pending.",Billing,High,Live Chat
1001,Refund Pending,"Hello Team, my payment of ₹12649 was deducted but the order is still pending.",Billing,Normal,Email
1012,Billing Issue,Please share the invoice for Order #58520.,Billing,High,Email
1416,Contact Information,What are your office working hours?,General,High,Live Chat
1023,Incorrect Bill,The billing amount seems incorrect. Kindly verify.,Billing,Normal,Live Chat
1073,Refund Request,The billing amount seems incorrect. Kindly verify.,Billing,Normal,Portal
1183,Server Down,The website is not loading since morning.,Technical,Normal,Email
1132,Password Reset,The website is not loading since morning.,Technical,Normal,Portal
1411,Product Information,Need more information about your services.,General,High,Email
1194,Application Crash,The application crashes whenever I try to login.,Technical,Normal,Live Chat
1056,Invoice Missing,I was charged twice for the same transaction.,Billing,High,Live Chat
1149,Website Not Loading,Password reset link is not working.,Technical,High,Live Chat
1019,Incorrect Bill,The billing amount seems incorrect. Kindly verify.,Billing,High,Portal
1205,Network Issue,The application crashes whenever I try to login.,Technical,Normal,Portal
1079,Refund Pending,Please share the invoice for Order #50538.,Billing,High,Portal
1495,Need Help,Need more information about your services.,General,High,Portal
1263,Holiday List,I have not received my offer letter yet.,HR,Normal,Live Chat
1324,Joining Date,Please approve my leave request for next week.,HR,High,Live Chat
1484,Business Hours,Please provide your contact details.,General,Normal,Portal
1080,Refund Request,Please share the invoice for Order #26683.,Billing,Normal,Portal
1040,Refund Request,Please share the invoice for Order #24322.,Billing,Normal,Email
1452,Company Address,Can you share your company address?,General,Normal,Live Chat
1047,Subscription Charged,Please share the invoice for Order #17665.,Billing,Normal,Live Chat
1239,API Error,Password reset link is not working.,Technical,High,Portal
1392,Product Information,Need more information about your services.,General,Normal,Portal
1353,Salary Issue,I have not received my offer letter yet.,HR,High,Portal
1342,Resignation,Attendance has been marked incorrectly.,HR,High,Live Chat
1278,Resignation,Kindly send my payslip for this month.,HR,Normal,Live Chat
1291,Leave Request,Please approve my leave request for next week.,HR,Normal,Email
1318,Joining Date,I have not received my offer letter yet.,HR,Normal,Live Chat
1305,Joining Date,I have not received my offer letter yet.,HR,Normal,Portal
1269,Holiday List,Need clarification regarding my salary.,HR,High,Email
1070,Billing Issue,I cancelled my subscription but my refund has not been received.,Billing,High,Portal
1456,Office Timings,Can you share your company address?,General,High,Portal
1466,General Enquiry,Can you share your company address?,General,Normal,Portal
1155,Network Issue,The application crashes whenever I try to login.,Technical,High,Portal
1083,Duplicate Payment,I was charged twice for the same transaction.,Billing,Normal,Live Chat
1478,Contact Information,Can you share your company address?,General,High,Portal
1173,Network Issue,Password reset link is not working.,Technical,Normal,Portal
1322,Joining Date,Kindly send my payslip for this month.,HR,High,Email
1091,Invoice Missing,I was charged twice for the same transaction.,Billing,High,Portal
1181,Application Crash,Password reset link is not working.,Technical,Normal,Email
1415,Company Address,Need more information about your services.,General,High,Email
1313,Resignation,I have not received my offer letter yet.,HR,Normal,Live Chat
1279,Joining Date,Please approve my leave request for next week.,HR,Normal,Portal
1382,Business Hours,What are your office working hours?,General,High,Live Chat
1473,Contact Information,Please provide your contact details.,General,Normal,Live Chat
1363,Attendance Correction,Attendance has been marked incorrectly.,HR,High,Portal
1325,Holiday List,Please approve my leave request for next week.,HR,High,Portal
1432,Company Address,Can you share your company address?,General,High,Email
1348,Holiday List,Kindly send my payslip for this month.,HR,High,Live Chat
1087,Refund Pending,I was charged twice for the same transaction.,Billing,Normal,Live Chat
1076,Refund Pending,I was charged twice for the same transaction.,Billing,High,Email
1439,Business Hours,Can you share your company address?,General,High,Live Chat
1016,Duplicate Payment,I was charged twice for the same transaction.,Billing,Normal,Live Chat
1250,Password Reset,I am getting a database connection error.,Technical,High,Live Chat
1434,Product Information,Need more information about your services.,General,High,Portal
1020,Subscription Charged,I cancelled my subscription but my refund has not been received.,Billing,Normal,Email
1323,Payslip Required,Kindly send my payslip for this month.,HR,High,Email
1333,Salary Issue,I have not received my offer letter yet.,HR,High,Live Chat
1057,Payment Failed,The billing amount seems incorrect. Kindly verify.,Billing,Normal,Email
1302,Joining Date,Attendance has been marked incorrectly.,HR,Normal,Email
1230,Unable to Login,I am getting a database connection error.,Technical,High,Live Chat
1332,Salary Issue,Kindly send my payslip for this month.,HR,Normal,Email
1133,Unable to Login,The application crashes whenever I try to login.,Technical,Normal,Live Chat
1138,Server Down,I am getting a database connection error.,Technical,Normal,Email
1424,Product Information,Please provide your contact details.,General,High,Email
1336,Payslip Required,Need clarification regarding my salary.,HR,Normal,Email
1026,Refund Pending,Please share the invoice for Order #93748.,Billing,Normal,Email
1465,Business Hours,Please provide your contact details.,General,Normal,Live Chat
1282,Attendance Correction,Attendance has been marked incorrectly.,HR,High,Email
1248,Server Down,Password reset link is not working.,Technical,High,Email
1238,Server Down,The application crashes whenever I try to login.,Technical,Normal,Portal
1118,Invoice Missing,The billing amount seems incorrect. Kindly verify.,Billing,High,Portal
1043,Refund Pending,"Hello Team, my payment of ₹11184 was deducted but the order is still pending.",Billing,Normal,Email
1221,Unable to Login,The application crashes whenever I try to login.,Technical,High,Live Chat
1177,Network Issue,Server is down and users cannot access the application.,Technical,High,Live Chat
1321,Resignation,Need clarification regarding my salary.,HR,High,Live Chat
1154,Network Issue,Server is down and users cannot access the application.,Technical,High,Live Chat
1232,Unable to Login,Server is down and users cannot access the application.,Technical,High,Email
1228,Website Not Loading,Server is down and users cannot access the application.,Technical,Normal,Email
1418,Office Timings,Need more information about your services.,General,Normal,Email
1204,API Error,The application crashes whenever I try to login.,Technical,Normal,Portal
1127,Password Reset,Password reset link is not working.,Technical,High,Portal
1330,Resignation,Attendance has been marked incorrectly.,HR,Normal,Email
1032,Subscription Charged,Please share the invoice for Order #98039.,Billing,High,Portal
1114,Subscription Charged,"Hello Team, my payment of ₹11922 was deducted but the order is still pending.",Billing,Normal,Live Chat
1471,Office Timings,What are your office working hours?,General,Normal,Live Chat
1272,Salary Issue,I have not received my offer letter yet.,HR,High,Email
1141,Unable to Login,I am getting a database connection error.,Technical,Normal,Live Chat
1058,Incorrect Bill,"Hello Team, my payment of ₹2253 was deducted but the order is still pending.",Billing,Normal,Portal
1193,Database Error,I am getting a database connection error.,Technical,Normal,Live Chat
1025,Billing Issue,"Hello Team, my payment of ₹12330 was deducted but the order is still pending.",Billing,Normal,Live Chat
1018,Billing Issue,I cancelled my subscription but my refund has not been received.,Billing,Normal,Live Chat
1266,Joining Date,Please approve my leave request for next week.,HR,Normal,Live Chat
1067,Invoice Missing,I cancelled my subscription but my refund has not been received.,Billing,Normal,Portal
1209,Network Issue,The website is not loading since morning.,Technical,Normal,Live Chat
1480,Business Hours,How can I contact customer support?,General,Normal,Portal
1095,Incorrect Bill,I cancelled my subscription but my refund has not been received.,Billing,High,Live Chat
1254,Payslip Required,Attendance has been marked incorrectly.,HR,High,Email
1267,Salary Issue,Please approve my leave request for next week.,HR,High,Live Chat
1024,Incorrect Bill,Please share the invoice for Order #48469.,Billing,High,Email
1223,Password Reset,I am getting a database connection error.,Technical,Normal,Portal
1262,Payslip Required,I have not received my offer letter yet.,HR,Normal,Email
1427,Product Information,Need more information about your services.,General,Normal,Portal
1006,Refund Request,Please share the invoice for Order #30379.,Billing,Normal,Portal
1117,Refund Request,Please share the invoice for Order #70258.,Billing,Normal,Portal
1046,Incorrect Bill,I was charged twice for the same transaction.,Billing,High,Email
1017,Duplicate Payment,I cancelled my subscription but my refund has not been received.,Billing,High,Live Chat
1463,Product Information,How can I contact customer support?,General,High,Portal
1358,Offer Letter,Need clarification regarding my salary.,HR,Normal,Email
1004,Payment Failed,The billing amount seems incorrect. Kindly verify.,Billing,High,Email
1219,Password Reset,I am getting a database connection error.,Technical,High,Live Chat
1406,Office Timings,Please provide your contact details.,General,High,Live Chat
1061,Refund Request,Please share the invoice for Order #10464.,Billing,High,Email
1111,Incorrect Bill,Please share the invoice for Order #89415.,Billing,Normal,Email
1319,Salary Issue,Need clarification regarding my salary.,HR,High,Live Chat
1429,Need Help,What are your office working hours?,General,Normal,Portal
1030,Billing Issue,"Hello Team, my payment of ₹12961 was deducted but the order is still pending.",Billing,Normal,Email
1438,General Enquiry,Please provide your contact details.,General,High,Portal
1472,Need Help,Need more information about your services.,General,High,Portal
1027,Duplicate Payment,I cancelled my subscription but my refund has not been received.,Billing,Normal,Live Chat
1008,Incorrect Bill,"Hello Team, my payment of ₹12455 was deducted but the order is still pending.",Billing,Normal,Portal
1454,Feedback,What are your office working hours?,General,Normal,Email
1109,Subscription Charged,I cancelled my subscription but my refund has not been received.,Billing,Normal,Email
1038,Refund Request,I cancelled my subscription but my refund has not been received.,Billing,High,Portal
1158,Application Crash,Server is down and users cannot access the application.,Technical,Normal,Portal
1490,Office Timings,Please provide your contact details.,General,High,Portal
1119,Refund Request,The billing amount seems incorrect. Kindly verify.,Billing,Normal,Email
1115,Payment Failed,Please share the invoice for Order #66148.,Billing,High,Email
1176,Server Down,Password reset link is not working.,Technical,Normal,Email
1374,Attendance Correction,I have not received my offer letter yet.,HR,High,Portal
1182,Password Reset,The application crashes whenever I try to login.,Technical,High,Portal
1145,Website Not Loading,Server is down and users cannot access the application.,Technical,Normal,Live Chat
1370,Leave Request,Kindly send my payslip for this month.,HR,High,Live Chat
1391,Need Help,How can I contact customer support?,General,Normal,Email
1196,API Error,The website is not loading since morning.,Technical,High,Live Chat
1405,Feedback,Can you share your company address?,General,High,Live Chat
1276,Offer Letter,Kindly send my payslip for this month.,HR,High,Email
1455,Feedback,Need more information about your services.,General,Normal,Live Chat
1142,Database Error,Server is down and users cannot access the application.,Technical,Normal,Email
1366,Leave Request,Need clarification regarding my salary.,HR,High,Email
1068,Payment Failed,I cancelled my subscription but my refund has not been received.,Billing,High,Live Chat
1211,Website Not Loading,The website is not loading since morning.,Technical,Normal,Live Chat
1169,Website Not Loading,Server is down and users cannot access the application.,Technical,High,Email
1494,Product Information,What are your office working hours?,General,High,Portal
1376,Product Information,Need more information about your services.,General,Normal,Portal
1401,Contact Information,Please provide your contact details.,General,High,Email
1273,Payslip Required,I have not received my offer letter yet.,HR,High,Email
1110,Invoice Missing,I was charged twice for the same transaction.,Billing,Normal,Portal
1249,API Error,The application crashes whenever I try to login.,Technical,High,Email
1146,Database Error,Server is down and users cannot access the application.,Technical,Normal,Portal
1093,Incorrect Bill,I cancelled my subscription but my refund has not been received.,Billing,High,Live Chat
1153,Website Not Loading,I am getting a database connection error.,Technical,High,Live Chat
1368,Joining Date,I have not received my offer letter yet.,HR,High,Live Chat
1468,Product Information,How can I contact customer support?,General,Normal,Email
1084,Billing Issue,I cancelled my subscription but my refund has not been received.,Billing,High,Live Chat
1246,Database Error,Server is down and users cannot access the application.,Technical,High,Portal
1166,Network Issue,The website is not loading since morning.,Technical,Normal,Portal
1164,Database Error,The application crashes whenever I try to login.,Technical,Normal,Portal
1200,Website Not Loading,I am getting a database connection error.,Technical,High,Live Chat
1229,Application Crash,The application crashes whenever I try to login.,Technical,High,Email
1075,Refund Request,Please share the invoice for Order #51114.,Billing,High,Live Chat
1479,Product Information,How can I contact customer support?,General,High,Live Chat
1359,Leave Request,Kindly send my payslip for this month.,HR,High,Live Chat
1251,Resignation,I have not received my offer letter yet.,HR,Normal,Portal
1120,Incorrect Bill,I was charged twice for the same transaction.,Billing,High,Portal
1311,Holiday List,I have not received my offer letter yet.,HR,High,Email
1300,Payslip Required,Need clarification regarding my salary.,HR,Normal,Email
1256,Offer Letter,I have not received my offer letter yet.,HR,Normal,Email
1355,Attendance Correction,Please approve my leave request for next week.,HR,High,Live Chat
1400,Feedback,Please provide your contact details.,General,Normal,Email
1226,Network Issue,The website is not loading since morning.,Technical,High,Portal
1354,Leave Request,Attendance has been marked incorrectly.,HR,Normal,Portal
1235,Database Error,Password reset link is not working.,Technical,Normal,Live Chat
1383,Feedback,Need more information about your services.,General,High,Portal
1275,Attendance Correction,Kindly send my payslip for this month.,HR,High,Email
1037,Invoice Missing,The billing amount seems incorrect. Kindly verify.,Billing,Normal,Portal
1197,Website Not Loading,The website is not loading since morning.,Technical,High,Live Chat
1140,API Error,Password reset link is not working.,Technical,High,Portal
1365,Joining Date,I have not received my offer letter yet.,HR,Normal,Live Chat
1245,Website Not Loading,The application crashes whenever I try to login.,Technical,Normal,Email
1440,Company Address,Need more information about your services.,General,High,Portal
1287,Resignation,Please approve my leave request for next week.,HR,High,Email
1060,Incorrect Bill,The billing amount seems incorrect. Kindly verify.,Billing,Normal,Email
1112,Incorrect Bill,"Hello Team, my payment of ₹9981 was deducted but the order is still pending.",Billing,High,Live Chat
1090,Billing Issue,"Hello Team, my payment of ₹9632 was deducted but the order is still pending.",Billing,Normal,Portal
1437,Office Timings,Please provide your contact details.,General,Normal,Email
1007,Refund Pending,"Hello Team, my payment of ₹6724 was deducted but the order is still pending.",Billing,High,Portal
1361,Holiday List,Kindly send my payslip for this month.,HR,High,Live Chat
1347,Resignation,Kindly send my payslip for this month.,HR,High,Live Chat
1339,Leave Request,Attendance has been marked incorrectly.,HR,High,Live Chat
1159,Unable to Login,I am getting a database connection error.,Technical,Normal,Email
1151,Application Crash,I am getting a database connection error.,Technical,High,Live Chat
1178,Application Crash,Server is down and users cannot access the application.,Technical,High,Portal
1394,Office Timings,How can I contact customer support?,General,High,Portal
1185,Server Down,The website is not loading since morning.,Technical,High,Portal
1450,Company Address,Please provide your contact details.,General,High,Portal
1011,Refund Pending,I cancelled my subscription but my refund has not been received.,Billing,High,Portal
1381,Contact Information,Need more information about your services.,General,Normal,Live Chat
1104,Refund Request,I cancelled my subscription but my refund has not been received.,Billing,Normal,Email
1082,Payment Failed,Please share the invoice for Order #37549.,Billing,High,Live Chat
1039,Refund Request,I was charged twice for the same transaction.,Billing,Normal,Email
